Species,Longitude,Latitude
Harengula_sp,-38.978611,-13.372806
Harengula_sp,-39.039,-13.918
Harengula_sp,-39.04165,-13.921643
Harengula_sp,-38.9429,-13.8894
Harengula_sp,-47.75,-26.116667
Harengula_sp,-45.069722,-23.430278
Harengula_sp,-45.06999969,-23.43000031
Harengula_sp,-45.05,-23.46666667
Harengula_sp,-45.06972222,-23.43027778
Harengula_sp,-45.07,-23.43
Harengula_sp,-45.0384861,-23.4395278
Harengula_sp,-45.916668,-24.166666
Harengula_sp,-44.3,-23.183333
Harengula_sp,-42.496861,-22.931778
Harengula_sp,-41.90694,-22.75639
Harengula_sp,-41.90722,-22.75639
Harengula_sp,-45.116667,-23.8
Harengula_sp,-45.075833,-23.538056
Harengula_sp,-43.231148,-23.078035
Harengula_sp,-45.07583333,-23.53805556
Harengula_sp,-45.11666667,-23.8
Harengula_sp,-35.738262,-9.76166
Harengula_sp,-45.133335,-23.799999
Harengula_sp,-43.231148,-23.078035
Harengula_sp,-39.6975,-19.749167
Harengula_sp,-39.653611,-19.557222
Harengula_sp,-38.189,-12.785
Harengula_sp,-46.779722,-24.180278
Harengula_sp,-40.4,-20.7
Harengula_sp,-46.15,-23.86
Harengula_sp,-46.152917,-23.86075
Harengula_sp,-49.79999924,-29.36666679
Harengula_sp,-38.5108,-12.9711
Harengula_sp,-42.81833333,-22.91944444
Harengula_sp,-47.91666667,-25.06666667
Harengula_sp,-42.968142,-22.948883
Harengula_sp,-40.4975,-20.666944
Harengula_sp,-39.733889,-19.605556
Harengula_sp,-40.233333,-20.3
Harengula_sp,-39.733889,-19.605556
Harengula_sp,-35.08333333,-8.75
Harengula_sp,-39.755556,-19.699722
Harengula_sp,-42.01805,-22.96889
Harengula_sp,-41.13167,-22.21611
Harengula_sp,-34.822819,-7.57775
Harengula_sp,-43.056944,-22.962222
Harengula_sp,-42.884808,-22.948883
Harengula_sp,-43.05694444,-22.96222222
Harengula_sp,-48.224526,-25.583391
Harengula_sp,-34.994511,-8.485057
Harengula_sp,-34.99361,-8.48077
Harengula_sp,-34.994854,-8.484845
Harengula_sp,-35.711254,-9.67789
Harengula_sp,-43.150889,-22.931056
Harengula_sp,-39.863333,-19.726389
Harengula_sp,-46.26657,-24.047506
Harengula_sp,-38.783333,-13.116667
Harengula_sp,-46.26657,-24.047506
Harengula_sp,-48.469725,-27.209133
Harengula_sp,-48.502862,-25.867652
Harengula_sp,-41.77306,-22.37111
Harengula_sp,-41.7775,-22.36778
Harengula_sp,-41.78689957,-22.37080002
Harengula_sp,-45.114722,-23.505556
Harengula_sp,-45.11472222,-23.50555556
Harengula_sp,-42.0186,-22.8794
Harengula_sp,-45.41,-23.76
Harengula_sp,-40.6275,-20.83972
Harengula_sp,-34.81705,-7.58569
Harengula_sp,-34.821525,-7.58827
Harengula_sp,-32.410556,-3.840556
Harengula_sp,-32.426944,-3.843611
Harengula_sp,-29.316667,-20.5
Harengula_sp,-43.520583,-23.05425
Harengula_sp,-40.215278,-20.228056
Harengula_sp,-39.04940033,-14.78890038
Harengula_sp,-40.18333333,-20.18333333
Harengula_sp,-43.52222222,-23.04583333
Harengula_sp,-48.55310059,-27.15780067
Harengula_sp,-32.43861,-3.849444
Harengula_sp,-41.69528,-22.39917
Harengula_sp,-41.69584,-22.40111
Harengula_sp,-41.925,-22.53028
Harengula_sp,-41.94499969,-22.52689934
Harengula_sp,-32.417778,-3.875833
Harengula_sp,-50.13333511,-29.96666718
Harengula_sp,-50.1336,-29.9847
Harengula_sp,-48.622222,-26.997417
Harengula_sp,-43.914722,-22.991111
Harengula_sp,-43.905556,-22.93
Harengula_sp,-43.894722,-22.928611
Harengula_sp,-43.898611,-22.928333
Harengula_sp,-43.836111,-22.9175
Harengula_sp,-40.752,-20.926
Harengula_sp,-35.194618,-5.749984
Harengula_sp,-35.696344,-9.64657
Harengula_sp,-35.06528,-8.595834
Harengula_sp,-45.437778,-23.826667
Harengula_sp,-45.4,-23.633333
Harengula_sp,-43.966667,-23.066667
Harengula_sp,-48.583611,-26.183611
Harengula_sp,-45.4,-23.63333333
Harengula_sp,-45.43777778,-23.82666667
Harengula_sp,-40.279,-20.301
Harengula_sp,-40.28333333,-20.31666667
Harengula_sp,-40.254817,-20.325749
Harengula_sp,-52.176,-32.206
Harengula_sp,-44.003056,-22.941667
Harengula_sp,-35.10444444,-8.759722222
Harengula_sp,-39.116665,-16.866667
Harengula_sp,-47.855278,-24.945
Harengula_sp,-43.773889,-22.988333
Harengula_sp,-47.85527778,-24.945
Harengula_sp,-43.18333,-22.81667
Harengula_sp,-46.333611,-23.972222
Harengula_sp,-52.099,-32.161
Harengula_sp,-52.102,-32.151
Harengula_sp,-52.1,-31.993
Harengula_sp,-52.14,-31.91
Harengula_sp,-46.33,-23.96
Harengula_sp,-52.088,-32.061
Harengula_sp,-52.135,-32.016
Harengula_sp,-45.111389,-23.496111
Harengula_sp,-43.855556,-22.903056
Harengula_sp,-40.337778,-20.319167
Harengula_sp,-45.11138889,-23.49611111
Harengula_sp,-45.15,-23.48333333
Harengula_sp,-45.0883333,-23.4922222
Harengula_sp,-37.353722,-4.685184
Harengula_sp,-37.348466,-4.688306
Harengula_sp,-37.347094,-4.684109
Harengula_sp,-35.002275,-8.524552
Harengula_sp,-34.888722,-7.772389
